ID#	Ra(deg)	Dec(deg)	RM_Raw_Value	RM_Raw_Err	Scaled_RM	TotalRMScaledErrWithStDev	TotalRMScaledErrWithAvgErr	Extinction	Scaled_Extinction	eAbundance	Raw_Magnetic_FieldMagnetic_Field(uG)	Magnetic_Field(uG)	Reference_BField_RMErr(±)	BField_of_Min_Extinction	BField_of_Max_Extinction
0	49.849410000000006	31.02869	33.777412	0.49198952	-6.232014783333334	7.274151790676753	1.7636561058333333	1.306603193283081	0.8275577997167906	0.0001302	516.7726411542027	-95.34581096074511	-1.3887724663034493	-496.3293224596908	-57.27552661480098
2	50.012520000000016	31.126040000000003	75.94589	0.12320466	35.936463216666674	6.905366930676753	1.3948712458333334	1.2429472208023071	0.7639018272360166	0.000134	1248.104850500313	590.584612946767	0.9580870859415568	2862.0471966187492	411.690031324445
3	50.08925000000001	31.64013	47.79162	0.48620918	7.78219321666667	7.268371450676754	1.7578757658333335	1.001220941543579	0.5221755479772886	0.000134	1147.5730686958689	186.86613575422524	1.9010870657833012	586.2547081083832	68.24398972109731
4	50.115809999999996	31.94413	44.810696	1.048052	4.801269216666668	7.830214270676754	2.3197185858333333	0.8720928430557251	0.3930474494894346	0.00013659999999999999	1416.454941784477	151.76692432505814	3.549590673010877	191.9833743350721	51.052514487845954
5	50.186209999999996	31.76695	54.01694499999999	0.62202483	14.00751821666666	7.4041871006767535	1.8936914158333333	0.9868234395980836	0.5077780460317931	0.000134	1333.6840022620033	345.8470847798207	3.982555365101888	1115.584970114805	151.75757156397148
6	50.189230000000016	31.20176	46.879368	0.6836968000000001	6.869941216666668	7.465859070676753	1.9553633858333335	1.350156545639038	0.8711111520727476	0.0001302	681.8189743315374	99.91722316021031	1.4572100404493866	221.443041861098	49.21769318521669
7	50.23199000000002	31.60075	49.666195	1.741888	9.65676821666667	8.524050270676753	3.0135545858333335	1.5984244346618652	1.1193790410955748	0.0001248	568.5640110762075	110.54784590003798	3.877123387429324	358.2490200051415	78.53975955202503
9	50.247140000000016	31.02774	45.31178	2.1725087000000003	5.302353216666667	8.954670970676753	3.4441752858333334	1.889332056045532	1.4102866624792414	0.0001176	418.0762516599113	48.92299436925395	2.345651194838412	130.91057240859013	35.36599030671449
10	50.24958000000001	30.848440000000004	64.24135600000001	2.5418766	24.23192921666668	9.324038870676754	3.8135431858333337	1.0845348834991455	0.605489489932855	0.000134	1331.0292684838998	502.0660992774418	19.8655531089133	1929.8762002561293	189.1914228496849
11	50.25013000000001	31.22124	42.425503000000006	1.9913983	2.4160762166666743	8.773560570676754	3.2630648858333333	2.025963544845581	1.5469181512792907	0.0001176	358.63177488709084	20.42360468526812	0.9586576180396721	58.35751195913479	16.15612473339319
12	50.30499000000001	30.99768	52.73574	0.65576845	12.726313216666668	7.4379307206767535	1.9274350358333332	1.9805691242218015	1.501523730655511	0.0001176	458.5575606475287	110.66019258800713	1.3760584941092877	1013.5474057491699	84.99092265013107
13	50.37152000000002	30.95173	48.591685999999996	0.6582979999999999	8.582259216666664	7.440460270676754	1.9299645858333334	1.0919462442398071	0.6129008506735166	0.000134	994.6471174958019	175.67448454987294	2.3799577942245564	365.5004015951695	57.31543117230791
14	50.44955000000001	31.89139	51.1612	1.170221	11.151773216666669	7.952383270676753	2.4418875858333333	1.7840577363967896	1.3050123428304992	0.0001248	504.4993648639719	109.96736794514959	2.515306976461477	324.9904211633091	105.4068733255813
15	50.45063000000001	31.24205	50.628624	2.810168	10.61919721666667	9.592330270676754	4.081834585833334	1.0106050968170166	0.5315597032507261	0.000134	1194.3160423359698	250.5040941384163	13.904359502576348	250.5040941384163	69.96264642751969
16	50.55728000000001	31.20588	49.9847	1.1195483	9.975273216666665	7.901710570676753	2.3912148858333335	1.5162607431411743	1.037215349574884	0.0001302	611.8020956490991	122.09522231060694	2.734666779553785	211.67256652773202	73.82510063965259
17	50.59103000000001	32.10835	34.036564	3.3378282	-5.972862783333333	10.119990470676754	4.609494785833333	0.9319931268692015	0.45294773330291105	0.00013659999999999999	933.6060938674065	-163.83266807877078	-16.066407278788805	-244.06567208027732	-69.13530000177526
18	50.61890000000001	29.69536	20.020407000000002	2.5726080000000002	-19.98901978333333	9.354770270676754	3.8442745858333334	0.9801870584487916	0.5011416648825011	0.000134	500.82505357693015	-500.0398795058577	-64.2547673649095	-758.4496303875901	-119.24960027508548
19	50.64575000000001	28.97552	26.23560100000001	1.4145119	-13.773825783333322	8.196674170676754	2.6861784858333335	2.092642307281494	1.6135969137152038	0.0001176	213.05901086951582	-111.85707913784901	-6.0308574421347965	-246.11145500137383	-91.7809652401569
20	50.6463	29.13361	75.279434	2.3367467	35.27000721666666	9.118908970676753	3.6084132858333335	1.6540472507476809	1.1750018571813903	0.0001248	822.1376524194469	385.1888808559225	11.956636738485177	2808.969393303226	193.84930242074705
21	50.64872000000001	31.20035	42.193104	0.55164415	2.1836772166666663	7.333806420676753	1.8233107358333334	2.165404796600342	1.6863594030340514	0.0001176	328.5587059988334	17.00434650712434	0.22231946422401336	173.9121409527727	13.644455688881122
22	50.68300000000001	29.56505	16.960531	0.7118561999999999	-23.048895783333332	7.494018470676753	1.9835227858333333	1.9403306245803835	1.461285231014093	0.0001176	151.3210996732564	-205.64121820173455	-8.631037327337072	-923.6135131314933	-187.77551558093222
23	50.74281000000001	31.06418	65.95874	1.8966884999999998	25.949313216666674	8.678850770676753	3.1683550858333334	1.8399659395217896	1.3609205459554992	0.0001248	624.3539091411183	245.6316652858002	7.063305860351886	430.3248509899199	157.48364970825457
24	50.78311000000001	29.19962	22.678974	3.242579	-17.33045278333333	10.024741270676753	4.514245585833334	1.2038934230804443	0.7248480295141538	0.000134	392.733539316334	-300.11278550577777	-42.90932279002301	-560.4246378718263	-138.99134422525572
25	50.83320000000001	28.90758	17.563622	0.6549206	-22.445804783333333	7.437082870676753	1.9265871858333332	1.6312596797943115	1.1522142862280211	0.0001248	195.4988688841152	-249.8419429850705	-9.316223908994862	-1098.9963979282238	-170.9007393398217
26	50.83547000000001	32.16422	82.64536	0.20498915	42.635933216666665	6.987151420676754	1.4766557358333334	1.6465412378311155	1.167495844264825	0.0001248	908.2193793636017	468.5414983325013	1.1621453821836565	1232.9316393740048	318.83642486825096
27	50.85423000000002	30.01892	19.270973	1.8173814	-20.73845378333333	8.599543670676754	3.089047985833333	0.7643551826477051	0.2853097890814146	0.00013659999999999999	839.1759466825866	-903.0790290849257	-85.16638107421991	-1108.6475503321976	-133.00937100723905
